"Id","Sales"
1,6371.65
2,6886.80
3,5519.40
4,6577.90
5,6929.41
6,86.09
7,6371.65
8,6371.65
9,6577.90
10,6929.41
11,86.09
12,5519.40
13,7848.05
14,6577.90
15,86.09
16,7848.05
17,6886.80
18,6886.80
19,7848.05
20,6371.65
21,6929.41
22,7848.05
23,6577.90
24,6929.41
25,6886.80
26,7848.05
27,6371.65
28,5519.40
29,6886.80
30,6886.80
31,6886.80
32,6577.90
33,86.09
34,6371.65
35,6577.90
36,6577.90
37,6929.41
38,7848.05
39,5519.40
40,5519.40
41,86.09
42,5519.40
43,6929.41
44,6886.80
45,6577.90
46,6886.80
47,86.09
48,7848.05
49,6886.80
50,7848.05
51,5519.40
52,86.09
53,6929.41
54,6929.41
55,6371.65
56,86.09
57,6929.41
58,6929.41
59,6577.90
60,6577.90
61,86.09
62,5519.40
63,5519.40
64,6929.41
65,86.09
66,5519.40
67,6886.80
68,6886.80
69,5519.40
70,6886.80
71,6371.65
72,7848.05
73,5519.40
74,6929.41
75,6371.65
76,5519.40
77,86.09
78,6371.65
79,6577.90
80,5519.40
81,7848.05
82,86.09
83,6886.80
84,7848.05
85,86.09
86,6371.65
87,86.09
88,6886.80
89,7848.05
90,6929.41
91,7848.05
92,6577.90
93,6371.65
94,7848.05
95,5519.40
96,86.09
97,7848.05
98,86.09
99,6577.90
100,5519.40
101,5519.40
102,5519.40
103,7848.05
104,7848.05
105,5519.40
106,7848.05
107,6577.90
108,7848.05
109,6929.41
110,5519.40
111,6577.90
112,6886.80
113,6577.90
114,7848.05
115,6577.90
116,6886.80
117,6929.41
118,6371.65
119,7848.05
120,6929.41
121,7848.05
122,86.09
123,5519.40
124,86.09
125,5519.40
126,6577.90
127,5519.40
128,6371.65
129,6886.80
130,5519.40
131,6929.41
132,6371.65
133,6577.90
134,5519.40
135,6577.90
136,6929.41
137,6577.90
138,7848.05
139,6886.80
140,7848.05
141,6886.80
142,6886.80
143,6371.65
144,5519.40
145,86.09
146,6371.65
147,6577.90
148,5519.40
149,6886.80
150,6886.80
151,6371.65
152,6929.41
153,6886.80
154,6371.65
155,6371.65
156,6371.65
157,6371.65
158,5519.40
159,86.09
160,6577.90
161,5519.40
162,5519.40
163,6886.80
164,6886.80
165,7848.05
166,6371.65
167,5519.40
168,86.09
169,6886.80
170,86.09
171,6371.65
172,86.09
173,6577.90
174,5519.40
175,6371.65
176,6371.65
177,6577.90
178,6886.80
179,86.09
180,5519.40
181,6886.80
182,6929.41
183,6886.80
184,6371.65
185,86.09
186,7848.05
187,5519.40
188,86.09
189,6886.80
190,86.09
191,5519.40
192,5519.40
193,6577.90
194,6371.65
195,6929.41
196,6886.80
197,7848.05
198,5519.40
199,6929.41
200,6371.65
201,7848.05
202,6371.65
203,6577.90
204,86.09
205,86.09
206,6886.80
207,6929.41
208,6886.80
209,5519.40
210,6929.41
211,6929.41
212,7848.05
213,7848.05
214,5519.40
215,6371.65
216,6886.80
217,86.09
218,6886.80
219,6371.65
220,6577.90
221,6577.90
222,6886.80
223,6929.41
224,6886.80
225,5519.40
226,86.09
227,86.09
228,6371.65
229,7848.05
230,6577.90
231,6577.90
232,86.09
233,6371.65
234,7848.05
235,5519.40
236,6886.80
237,86.09
238,6371.65
239,6929.41
240,5519.40
241,5519.40
242,6886.80
243,6577.90
244,7848.05
245,7848.05
246,6929.41
247,6929.41
248,6371.65
249,6886.80
250,6929.41
251,5519.40
252,6577.90
253,6929.41
254,6886.80
255,7848.05
256,7848.05
257,6929.41
258,86.09
259,6577.90
260,5519.40
261,6886.80
262,6886.80
263,86.09
264,5519.40
265,6371.65
266,5519.40
267,6929.41
268,86.09
269,6371.65
270,6929.41
271,5519.40
272,7848.05
273,5519.40
274,7848.05
275,6577.90
276,6371.65
277,6886.80
278,6371.65
279,6577.90
280,5519.40
281,86.09
282,6929.41
283,5519.40
284,7848.05
285,6371.65
286,6929.41
287,7848.05
288,7848.05
289,7848.05
290,6929.41
291,5519.40
292,6577.90
293,6929.41
294,86.09
295,6371.65
296,86.09
297,86.09
298,7848.05
299,7848.05
300,6371.65
301,6929.41
302,5519.40
303,6886.80
304,7848.05
305,6886.80
306,6371.65
307,6577.90
308,7848.05
309,5519.40
310,6886.80
311,6929.41
312,86.09
313,7848.05
314,6577.90
315,6577.90
316,6886.80
317,6886.80
318,6886.80
319,7848.05
320,6577.90
321,7848.05
322,6371.65
323,6886.80
324,6371.65
325,5519.40
326,5519.40
327,6371.65
328,86.09
329,86.09
330,86.09
331,5519.40
332,6886.80
333,6577.90
334,7848.05
335,7848.05
336,86.09
337,6371.65
338,6929.41
339,6371.65
340,6577.90
341,6929.41
342,86.09
343,6886.80
344,6577.90
345,6371.65
346,6886.80
347,6577.90
348,6577.90
349,6929.41
350,7848.05
351,6371.65
352,6886.80
353,6929.41
354,6929.41
355,5519.40
356,6371.65
357,7848.05
358,7848.05
359,6577.90
360,86.09
361,6577.90
362,7848.05
363,6371.65
364,86.09
365,6577.90
366,6577.90
367,5519.40
368,5519.40
369,86.09
370,6577.90
371,6371.65
372,6371.65
373,6371.65
374,6886.80
375,6886.80
376,5519.40
377,6886.80
378,6577.90
379,6929.41
380,86.09
381,7848.05
382,6886.80
383,6929.41
384,6929.41
385,5519.40
386,86.09
387,7848.05
388,6929.41
389,6886.80
390,6577.90
391,86.09
392,7848.05
393,6929.41
394,6371.65
395,6886.80
396,6371.65
397,6577.90
398,7848.05
399,6371.65
400,86.09
401,86.09
402,6577.90
403,6577.90
404,6886.80
405,6886.80
406,6886.80
407,6929.41
408,5519.40
409,6371.65
410,7848.05
411,6577.90
412,7848.05
413,6929.41
414,6886.80
415,6577.90
416,6371.65
417,6886.80
418,7848.05
419,6886.80
420,6886.80
421,6886.80
422,6577.90
423,6371.65
